Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,1.001204899,10.16.2015 09:34:19,1.001205551,1,1,0,3.434256554,0,0,0,0,0,0,0,0,0
2,2.016763296,10.16.2015 09:34:20,2.016763873,1,1,0,3.43441844,0,0,0,0,3.23772E-05,0,0,0,0
3,3.032253945,10.16.2015 09:34:21,3.032254521,1,1,0,3.434580564,0,0,0,0,6.48022E-05,0,0,0,0
4,4.032554301,10.16.2015 09:34:22,4.032555003,1,1,0,3.434580564,0,0,0,0,6.48022E-05,0,0,0,0
5,5.04798263,10.16.2015 09:34:23,5.047983302,1,1,0,3.434256554,0,0,0,0,0,0,0,0,0
6,6.063492427,10.16.2015 09:34:24,6.063493003,1,1,0,3.434580564,0,0,0,0,3.23229E-05,0,0,0,0
7,7.063553223,10.16.2015 09:34:25,7.063553804,1,1,0,3.43441844,0,0,0,0,0,0,0,0,0
8,8.078188206,10.16.2015 09:34:26,8.078188476,1,1,0,3.434742451,0,0,0,0,6.48022E-05,0,0,0,0
9,9.079358163,10.16.2015 09:34:27,9.079358925,1,1,0,3.43441844,0,0,0,0,3.23772E-05,0,0,0,0
10,10.09378098,10.16.2015 09:34:28,10.09378153,1,1,0,3.43441844,0,0,0,0,0,0,0,0,0
11,11.09449777,10.16.2015 09:34:29,11.09449833,1,1,0,3.434256554,0,0,0,0,-3.23772E-05,0,0,0,0
12,12.0947356,10.16.2015 09:34:30,12.09473618,1,1,0,3.43441844,0,0,0,0,3.23772E-05,0,0,0,0
13,13.1101649,10.16.2015 09:34:31,13.11016556,1,1,0,3.43441844,0,0,0,0,-3.24249E-05,0,0,0,0
14,14.11036313,10.16.2015 09:34:32,14.1103637,1,1,0,3.434580564,0,0,0,0,0,0,0,0,0
15,15.12593282,10.16.2015 09:34:33,15.12593349,1,1,0,3.43441844,0,0,0,0,0,0,0,0,0
16,16.12593832,10.16.2015 09:34:34,16.12593887,1,1,0,3.43441844,0,0,0,0,-3.24249E-05,0,0,0,0
17,17.14103713,10.16.2015 09:34:35,17.1410378,1,1,0,3.43441844,0,0,0,0,0,0,0,0,0
18,18.14114777,10.16.2015 09:34:36,18.14114844,1,1,0,3.43441844,0,0,0,0,0,0,0,0,0
19,19.15718423,10.16.2015 09:34:37,19.15718481,1,1,0,3.434580564,0,0,0,0,3.24249E-05,0,0,0,0
20,20.17299653,10.16.2015 09:34:38,20.1729971,1,1,0,3.43441844,0,0,0,0,-3.24249E-05,0,0,0,0
21,21.17300829,10.16.2015 09:34:39,21.17300896,1,1,0,3.434580564,0,0,0,0,3.24249E-05,0,0,0,0
22,22.18740483,10.16.2015 09:34:40,22.18740538,1,1,0,3.43441844,0,0,0,0,3.23772E-05,0,0,0,0
23,23.18839405,10.16.2015 09:34:41,23.18839471,1,1,0,3.434256554,0,0,0,0,-6.48022E-05,0,0,0,0
24,24.20403936,10.16.2015 09:34:42,24.20403993,1,1,0,3.434580564,0,0,0,0,0,0,0,0,0
25,25.21941688,10.16.2015 09:34:43,25.21941752,1,1,0,3.43441844,0,0,0,0,-3.24249E-05,0,0,0,0
26,26.21960314,10.16.2015 09:34:44,26.2196037,1,1,0,3.43441844,0,0,0,0,0,0,0,0,0
27,27.21972669,10.16.2015 09:34:45,27.21972733,1,1,0,3.43441844,0,0,0,0,-3.24249E-05,0,0,0,0
28,28.23520126,10.16.2015 09:34:46,28.23520183,1,1,0,3.434580564,0,0,0,0,0,0,0,0,0
29,29.24971503,10.16.2015 09:34:47,29.2497153,1,1,0,3.43441844,0,0,0,0,0,0,0,0,0
30,30.25081144,10.16.2015 09:34:48,30.25081208,1,1,0,3.43441844,0,0,0,0,0,0,0,0,0
31,31.26644515,10.16.2015 09:34:49,31.26644573,1,1,0,3.434580564,0,0,0,0,0,0,0,0,0
32,32.2664626,10.16.2015 09:34:50,32.26646325,1,1,0,3.43441844,0,0,0,0,0,0,0,0,0
33,33.28202051,10.16.2015 09:34:51,33.28202109,1,1,0,3.43441844,0,0,0,0,-3.24249E-05,0,0,0,0
34,34.29760897,10.16.2015 09:34:52,34.29760951,1,1,0,3.434580564,0,0,0,0,3.24249E-05,0,0,0,0
35,35.31226566,10.16.2015 09:34:53,35.31226621,1,1,0,3.43441844,0,0,0,0,-3.24249E-05,0,0,0,0
36,36.31328315,10.16.2015 09:34:54,36.31328372,1,1,0,3.43441844,0,0,0,0,-3.24249E-05,0,0,0,0
37,37.32883276,10.16.2015 09:34:55,37.32883334,1,1,0,3.43441844,0,0,0,0,-3.24249E-05,0,0,0,0
38,38.34435566,10.16.2015 09:34:56,38.34435633,1,1,0,3.43441844,0,0,0,0,0,0,0,0,0
39,39.36005271,10.16.2015 09:34:57,39.36005328,1,1,0,3.43441844,0,0,0,0,0,0,0,0,0
40,40.37571312,10.16.2015 09:34:58,40.3757137,1,1,0,3.434580564,0,0,0,0,3.24249E-05,0,0,0,0
41,41.39129528,10.16.2015 09:34:59,41.39129586,1,1,0,3.43441844,0,0,0,0,0,0,0,0,0
